1,63,184
2,52,66
3,113,199
4,23,188
5,12,180
6,32,86
7,128,196
8,131,94
9,43,169
10,77,67
11,92,112
12,113,52
13,127,72
14,100,46
15,53,19
16,64,188
17,42,19
18,126,85
19,146,176
20,115,190
21,142,65
22,37,60
23,139,86
24,21,44
25,29,78
26,18,157
27,109,65
28,13,94
29,26,138
30,138,190
31,47,56
32,58,26
33,49,131
34,100,160
35,33,126
36,51,60
37,67,162
38,70,102
39,62,142
40,149,34
41,60,153
42,49,135
43,68,118
44,127,152
45,39,95
46,57,182
47,125,133
48,131,62
49,45,81
50,92,84
51,17,111
52,44,41
53,91,196
54,101,115
55,139,56
56,106,172
57,31,117
58,144,98
59,54,115
60,114,137
61,129,196
62,62,32
63,66,26
64,77,177
65,69,148
66,89,59
67,123,176
68,110,187
69,132,30
70,136,179
71,84,82
72,96,37
73,140,48
74,93,72
75,110,99
76,27,60
77,100,177
78,149,131
79,84,98
80,24,177
81,102,193
82,44,24
83,102,139
84,47,17
85,98,132
86,133,98
87,144,40
88,74,83
89,12,30
90,101,191
91,40,36
92,99,164
93,61,150
94,54,167
95,19,84
96,28,62
97,73,127
98,90,108
99,83,151
100,14,41
101,125,172
102,41,51
103,31,158
104,61,20
105,62,153
106,128,60
107,92,186
108,74,142
109,145,133
110,72,68
111,53,199
112,41,67
113,43,184
114,140,92
115,111,35
116,68,30
117,44,29
118,85,150
119,41,44
120,89,168
121,57,20
122,114,164
123,74,37
124,49,31
125,110,44
126,116,123
127,110,174
128,35,154
129,68,30
130,102,189
131,84,61
132,52,73
133,145,149
134,73,128
135,102,53
136,133,160
137,99,184
138,66,159
139,102,83
140,103,117
141,147,34
142,126,127
143,121,70
144,133,52
145,28,188
146,57,90
147,17,44
148,80,108
149,22,136
150,59,126
151,51,40
152,107,120
153,75,107
154,63,92
155,129,111
156,140,155
157,144,99
158,92,31
159,145,163
160,75,171
161,44,195
162,18,194
163,84,41
164,113,21
165,89,168
166,50,94
167,124,99
168,116,27
169,136,115
170,83,127
171,114,82
172,77,34
173,20,45
174,36,72
175,19,71
176,70,57
177,56,151
178,115,162
179,130,172
180,59,196
181,69,115
182,125,110
183,49,23
184,55,109
185,22,132
186,87,75
187,130,164
188,17,53
189,73,113
190,126,188
191,96,151
192,53,95
193,139,54
194,111,169
195,42,146
196,146,56
197,89,96
198,59,135
199,54,104
200,131,180
201,69,74
202,110,193
203,111,160
204,74,197
205,85,183
206,42,72
207,63,68
208,76,109
209,134,197
210,60,89
211,11,124
212,109,15
213,68,199
214,12,164
215,12,188
216,126,119
217,129,199
218,115,79
219,13,52
220,108,192
221,15,135
222,41,181
223,63,148
224,38,187
225,43,184
226,82,71
227,146,184
228,32,78
229,27,188
230,58,61
231,59,116
232,85,125
233,41,76
234,73,38
235,77,193
236,103,103
237,99,195
238,73,166
239,95,136
240,35,21
241,34,141
242,57,47
243,110,112
244,49,125
245,129,48
246,109,64
247,70,155
248,98,59
249,16,45
250,14,182
251,43,34
252,76,21
253,51,155
254,132,30
255,108,118
256,29,48
257,77,23
258,46,135
259,99,155
260,83,83
261,113,111
262,102,93
263,138,163
264,13,88
265,58,196
266,144,80
267,58,96
268,92,148
269,53,71
270,37,134
271,33,18
272,147,96
273,119,38
274,122,172
